RK,NAME,TEAM,POS,GMS,PASSING_YDS,PASSING_TD,INT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,REC_YDS,REC_TD,FUM LST,PPG,FPTS
1,Patrick Mahomes,KC,QB,16,5097,50,12,272,2,0,0,0,2,26.1,417.08
2,Saquon Barkley,NYG,RB,16,0,0,0,1307,11,91,721,4,0,24.1,385.8
3,Christian McCaffrey,CAR,RB,16,50,1,0,1098,7,107,867,6,1,24.1,385.5
4,Todd Gurley,LAR,RB,14,0,0,0,1251,17,59,580,4,1,26.6,372.1
5,Matt Ryan,ATL,QB,16,4924,35,7,125,3,1,5,1,5,22.2,354.96
6,Alvin Kamara,NO,RB,15,0,0,0,883,14,81,709,4,0,23.6,354.2
7,Ben Roethlisberger,PIT,QB,16,5129,34,16,98,3,1,-1,0,2,21.4,341.86
8,DeAndre Hopkins,HOU,WR,16,0,0,0,-7,0,115,1572,11,2,20.8,333.5
9,Deshaun Watson,HOU,QB,16,4165,26,9,551,5,0,0,0,3,20.7,331.7
10,Davante Adams,GB,WR,15,0,0,0,0,0,111,1386,13,0,22,329.6
11,Ezekiel Elliott O,DAL,RB,15,0,0,0,1435,6,77,567,3,1,21.9,329.2
12,Tyreek Hill,KC,WR,16,0,0,0,151,1,87,1479,12,0,20.5,328
13,Andrew Luck D,IND,QB,16,4593,39,15,148,0,1,4,0,1,20.5,327.92
14,Julio Jones,ATL,WR,16,0,0,0,12,0,113,1677,8,2,20.4,325.9
15,Antonio Brown P,PIT,WR,15,0,0,0,0,0,104,1297,15,0,21.6,323.7
16,Michael Thomas,NO,WR,16,0,0,0,0,0,125,1405,9,2,19.7,315.5
17,Aaron Rodgers,GB,QB,16,4442,25,2,269,2,0,0,0,3,19.5,312.58
18,Jared Goff,LAR,QB,16,4688,32,12,108,2,0,0,0,5,19.4,310.32
19,Adam Thielen,MIN,WR,16,0,0,0,30,0,113,1373,9,1,19.2,307.3
20,Drew Brees,NO,QB,15,3992,32,5,22,4,1,1,0,1,20.3,304.98
21,Russell Wilson,SEA,QB,16,3448,35,7,376,0,1,-11,0,2,18.7,299.42
22,JuJu Smith-Schuster,PIT,WR,16,0,0,0,13,0,111,1426,7,1,18.6,296.9
23,Travis Kelce,KC,TE,16,0,0,0,0,0,103,1336,10,1,18.4,294.6
24,Mike Evans,TB,WR,16,0,0,0,0,1,86,1524,8,1,18.2,290.4
25,Dak Prescott,DAL,QB,16,3884,22,8,305,6,0,0,0,6,17.9,285.86
26,Philip Rivers,LAC,QB,16,4308,32,12,7,0,0,0,0,1,17.8,285.02
27,Kirk Cousins,MIN,QB,16,4298,30,10,123,1,1,-1,0,7,17.7,283.12
28,Cam Newton P,CAR,QB,14,3395,24,13,488,4,0,0,0,0,20.2,282.6
29,Tom Brady,NE,QB,16,4355,29,11,35,2,1,6,0,2,17.6,281.3
30,Zach Ertz,PHI,TE,16,0,0,0,0,0,116,1163,8,0,17.5,280.3
31,James Conner,PIT,RB,13,0,0,0,973,12,55,497,1,2,21.5,280
32,James White,NE,RB,16,0,0,0,425,5,87,751,7,0,17.3,276.6
33,Melvin Gordon O,LAC,RB,12,0,0,0,885,10,50,490,4,0,23,275.5
34,Stefon Diggs,MIN,WR,15,0,0,0,62,0,102,1021,9,0,17.8,266.3
35,Robert Woods,LAR,WR,16,0,0,0,157,1,86,1219,6,0,16.6,265.6
36,Mitch Trubisky,CHI,QB,14,3223,24,12,421,3,0,0,0,3,18.8,263.02
37,Keenan Allen,LAC,WR,16,0,0,0,75,0,97,1196,6,1,16.3,260.1
38,George Kittle,SF,TE,16,0,0,0,10,0,88,1377,5,0,16.2,258.7
39,David Johnson,ARI,RB,16,0,0,0,940,7,50,446,3,2,15.4,246.6
40,Joe Mixon,CIN,RB,14,0,0,0,1168,8,43,296,1,0,17.4,243.4
41,Brandin Cooks,LAR,WR,16,0,0,0,68,1,80,1204,5,0,15.2,243.2
42,Baker Mayfield,CLE,QB,14,3725,27,14,131,0,0,0,0,3,17.2,240.1
43,Eli Manning,NYG,QB,16,4299,21,11,20,1,0,0,0,4,15,239.96
44,T.Y. Hilton,IND,WR,14,0,0,0,0,0,76,1270,6,0,17.1,239
45,Tarik Cohen,CHI,RB,16,1,1,0,444,3,71,725,5,3,14.6,233.94
